sample_id	task	B_i	SB	Dynamic	Random	dynamic_gain	random_gain	dynamic_minus_random	random_winner_source	random_winner_trajectory	random_winner_switches	dynamic_winner_switches
ruler_qa_squad_16k:0056	ruler_qa_squad_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L18"", ""L6"", ""L12"", ""L12"", ""L6"", ""L24"", ""ALL"", ""L18"", ""L18"", ""L24"", ""L12"", ""L6"", ""L18""]"	10	2
ruler_qa_squad_16k:0085	ruler_qa_squad_16k	378	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L24"", ""OFF"", ""ALL"", ""L12"", ""L24"", ""L18"", ""ALL"", ""L18"", ""ALL"", ""L12"", ""L12"", ""L24"", ""L0"", ""L0"", ""ALL""]"	12	1
ruler_qa_squad_16k:0141	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""L6"", ""L0"", ""L6"", ""L12"", ""L18"", ""L12"", ""ALL"", ""L24"", ""L24"", ""L6"", ""ALL""]"	10	1
ruler_qa_squad_16k:0161	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""L12"", ""OFF"", ""L24"", ""L12"", ""L12"", ""ALL"", ""L24"", ""L0"", ""L6"", ""L18"", ""L18""]"	9	3
ruler_qa_squad_16k:0172	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L24"", ""ALL"", ""L6"", ""ALL"", ""L24"", ""L18"", ""L18"", ""L18"", ""L12"", ""L6"", ""L24"", ""L18""]"	9	1
ruler_qa_squad_16k:0184	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""OFF"", ""L0"", ""OFF"", ""OFF"", ""L12"", ""ALL"", ""L24"", ""L12"", ""L18"", ""L6"", ""L0"", ""OFF""]"	10	5
ruler_qa_squad_16k:0305	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L12"", ""OFF"", ""L0"", ""L18"", ""L24"", ""OFF"", ""L12"", ""L24"", ""L12"", ""ALL"", ""L24"", ""L24""]"	10	3
ruler_qa_squad_16k:0363	ruler_qa_squad_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""OFF"", ""L24"", ""OFF"", ""ALL"", ""ALL"", ""L24"", ""L24"", ""L0"", ""L6"", ""OFF"", ""L24"", ""L24"", ""L24""]"	8	5
ruler_qa_squad_16k:0424	ruler_qa_squad_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""ALL"", ""OFF"", ""ALL"", ""OFF"", ""L12"", ""L24"", ""ALL"", ""L18"", ""L24"", ""L6"", ""ALL"", ""L6"", ""ALL""]"	12	2
ruler_qa_squad_16k:0429	ruler_qa_squad_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""OFF"", ""L12"", ""ALL"", ""L24"", ""L0"", ""ALL"", ""L6"", ""L18"", ""L24"", ""L0"", ""L12"", ""L0"", ""L6""]"	12	1
ruler_qa_squad_16k:0432	ruler_qa_squad_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""ALL"", ""L24"", ""L0"", ""ALL"", ""L12"", ""L6"", ""L6"", ""L24"", ""L0"", ""L24"", ""L18"", ""ALL"", ""L0""]"	11	1
ruler_qa_squad_16k:0444	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""ALL"", ""L6"", ""L18"", ""L12"", ""L0"", ""L24"", ""L18"", ""OFF"", ""L0"", ""OFF"", ""L24"", ""OFF""]"	11	2
ruler_qa_squad_16k:0445	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""L18"", ""L6"", ""L0"", ""OFF"", ""L12"", ""L24"", ""OFF"", ""ALL"", ""L6"", ""L24"", ""L18""]"	11	2
ruler_qa_squad_16k:0458	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L18"", ""L24"", ""L0"", ""L0"", ""ALL"", ""L0"", ""ALL"", ""ALL"", ""OFF"", ""L24"", ""ALL"", ""L0""]"	9	3
ruler_qa_squad_16k:0472	ruler_qa_squad_16k	306	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""ALL"", ""L18"", ""L18"", ""L6"", ""L6"", ""L24"", ""ALL"", ""L0"", ""ALL"", ""L18"", ""OFF""]"	9	1
ruler_qa_squad_16k:0491	ruler_qa_squad_16k	354	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""OFF"", ""OFF"", ""L0"", ""L12"", ""L24"", ""L24"", ""L6"", ""L12"", ""L0"", ""ALL"", ""L6"", ""ALL"", ""L6""]"	11	1
ruler_vt_16k:0008	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""L0"", ""L6"", ""L18"", ""L24"", ""L12"", ""L18"", ""L24"", ""L0"", ""ALL"", ""ALL"", ""L6"", ""L12"", ""L12"", ""ALL"", ""L0""]"	12	2
ruler_vt_16k:0024	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""ALL"", ""ALL"", ""L0"", ""L6"", ""L24"", ""ALL"", ""L0"", ""OFF"", ""ALL"", ""L18"", ""OFF"", ""L0"", ""L0"", ""L12"", ""L12""]"	11	4
ruler_vt_16k:0044	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L24"", ""L18"", ""L24"", ""OFF"", ""L0"", ""L0"", ""L12"", ""L0"", ""L6"", ""L12"", ""L18"", ""L0"", ""OFF"", ""ALL"", ""L24""]"	13	1
ruler_vt_16k:0045	ruler_vt_16k	378	0.2	0.8	0.8	0.6000000000000001	0.6000000000000001	0.0	random	"[""L12"", ""L12"", ""L0"", ""OFF"", ""L0"", ""OFF"", ""L12"", ""L0"", ""L18"", ""ALL"", ""L0"", ""ALL"", ""L0"", ""L18"", ""ALL""]"	13	2
ruler_vt_16k:0048	ruler_vt_16k	378	0.2	0.4	0.4	0.2	0.2	0.0	random	"[""ALL"", ""ALL"", ""L0"", ""L24"", ""L24"", ""L18"", ""L18"", ""L6"", ""L12"", ""ALL"", ""L24"", ""L12"", ""L12"", ""L12"", ""L24""]"	9	1
ruler_vt_16k:0050	ruler_vt_16k	378	0.6	1.0	1.0	0.4	0.4	0.0	random	"[""OFF"", ""L0"", ""L24"", ""L6"", ""ALL"", ""L6"", ""L24"", ""OFF"", ""L0"", ""L18"", ""L0"", ""L6"", ""L18"", ""L24"", ""L12""]"	14	1
ruler_vt_16k:0057	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""OFF"", ""L24"", ""L24"", ""L6"", ""L18"", ""L0"", ""L0"", ""L24"", ""OFF"", ""L6"", ""L12"", ""L18"", ""OFF"", ""L6"", ""L0""]"	12	5
ruler_vt_16k:0063	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""ALL"", ""L18"", ""ALL"", ""L0"", ""L0"", ""L6"", ""L12"", ""L24"", ""L18"", ""L18"", ""L0"", ""L6"", ""L0"", ""L0"", ""L0""]"	10	1
ruler_vt_16k:0065	ruler_vt_16k	378	0.4	1.0	1.0	0.6	0.6	0.0	random	"[""L6"", ""L24"", ""L12"", ""L18"", ""L12"", ""OFF"", ""ALL"", ""ALL"", ""L18"", ""OFF"", ""L12"", ""L24"", ""L24"", ""L24"", ""L6""]"	11	1
ruler_vt_16k:0070	ruler_vt_16k	378	0.4	0.6	0.6	0.19999999999999996	0.19999999999999996	0.0	random	"[""OFF"", ""ALL"", ""ALL"", ""L12"", ""L12"", ""L24"", ""L24"", ""OFF"", ""L18"", ""ALL"", ""L6"", ""L24"", ""L0"", ""L24"", ""L6""]"	11	1
ruler_vt_16k:0083	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""ALL"", ""L6"", ""L18"", ""L0"", ""ALL"", ""L18"", ""L24"", ""L0"", ""ALL"", ""ALL"", ""L6"", ""L24"", ""ALL"", ""L18"", ""L24""]"	13	1
ruler_vt_16k:0086	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""ALL"", ""L12"", ""OFF"", ""L24"", ""L24"", ""ALL"", ""L6"", ""L0"", ""L18"", ""L0"", ""L18"", ""L6"", ""L0"", ""OFF"", ""L24""]"	13	1
ruler_vt_16k:0091	ruler_vt_16k	378	0.6	0.8	0.8	0.20000000000000007	0.20000000000000007	0.0	random	"[""ALL"", ""OFF"", ""L24"", ""ALL"", ""L24"", ""L6"", ""OFF"", ""L0"", ""L0"", ""OFF"", ""L18"", ""L6"", ""L24"", ""L12"", ""L12""]"	12	4
ruler_vt_16k:0093	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""L0"", ""L0"", ""ALL"", ""OFF"", ""ALL"", ""ALL"", ""L6"", ""L0"", ""L18"", ""OFF"", ""L12"", ""ALL"", ""L24"", ""OFF"", ""L0""]"	12	1
ruler_vt_16k:0098	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L18"", ""L6"", ""ALL"", ""OFF"", ""ALL"", ""L24"", ""OFF"", ""OFF"", ""L0"", ""L0"", ""L0"", ""L24"", ""OFF"", ""ALL"", ""L12""]"	11	1
ruler_vt_16k:0108	ruler_vt_16k	378	0.6	0.8	0.8	0.20000000000000007	0.20000000000000007	0.0	random	"[""OFF"", ""L6"", ""ALL"", ""L12"", ""ALL"", ""L24"", ""L0"", ""L24"", ""L24"", ""L0"", ""L0"", ""L6"", ""OFF"", ""ALL"", ""L6""]"	12	2
ruler_vt_16k:0113	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""OFF"", ""ALL"", ""L6"", ""L12"", ""OFF"", ""L24"", ""L6"", ""ALL"", ""L24"", ""L0"", ""L18"", ""L12"", ""L6"", ""L24"", ""L6""]"	14	4
ruler_vt_16k:0123	ruler_vt_16k	378	0.8	1.0	0.8	0.19999999999999996	0.0	0.19999999999999996	shared_constant	"[""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]"	0	6
ruler_vt_16k:0139	ruler_vt_16k	378	0.4	1.0	1.0	0.6	0.6	0.0	random	"[""L6"", ""ALL"", ""OFF"", ""ALL"", ""L6"", ""L18"", ""L24"", ""ALL"", ""L6"", ""L0"", ""L24"", ""L6"", ""L12"", ""L18"", ""L6""]"	14	2
ruler_vt_16k:0140	ruler_vt_16k	378	0.6	0.8	0.8	0.20000000000000007	0.20000000000000007	0.0	random	"[""L24"", ""L6"", ""L12"", ""L24"", ""L24"", ""L24"", ""L12"", ""L12"", ""L0"", ""L18"", ""ALL"", ""L18"", ""L6"", ""L6"", ""OFF""]"	10	4
ruler_vt_16k:0149	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L24"", ""OFF"", ""OFF"", ""L18"", ""OFF"", ""ALL"", ""L0"", ""OFF"", ""L18"", ""L12"", ""L18"", ""L0"", ""L0"", ""L0"", ""L24""]"	11	3
ruler_vt_16k:0157	ruler_vt_16k	378	0.6	1.0	1.0	0.4	0.4	0.0	random	"[""ALL"", ""OFF"", ""L18"", ""L24"", ""OFF"", ""ALL"", ""ALL"", ""L24"", ""ALL"", ""L12"", ""L6"", ""L24"", ""L0"", ""L0"", ""L18""]"	12	1
ruler_vt_16k:0160	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L12"", ""L0"", ""L6"", ""L12"", ""OFF"", ""L18"", ""L18"", ""L0"", ""L24"", ""L6"", ""L12"", ""L12"", ""L0"", ""L12"", ""L6""]"	12	3
ruler_vt_16k:0164	ruler_vt_16k	378	0.6	0.8	0.8	0.20000000000000007	0.20000000000000007	0.0	random	"[""L0"", ""ALL"", ""L0"", ""L6"", ""L0"", ""ALL"", ""L12"", ""L18"", ""L0"", ""L6"", ""ALL"", ""L6"", ""ALL"", ""L0"", ""L18""]"	14	1
ruler_vt_16k:0165	ruler_vt_16k	378	0.8	1.0	0.8	0.19999999999999996	0.0	0.19999999999999996	shared_constant	"[""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]"	0	7
ruler_vt_16k:0170	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""ALL"", ""L18"", ""OFF"", ""L0"", ""L24"", ""ALL"", ""L24"", ""L6"", ""L0"", ""OFF"", ""L18"", ""OFF"", ""OFF"", ""L0"", ""L6""]"	13	1
ruler_vt_16k:0172	ruler_vt_16k	378	0.4	0.6	0.6	0.19999999999999996	0.19999999999999996	0.0	random	"[""L18"", ""L12"", ""L6"", ""L18"", ""L24"", ""L24"", ""L12"", ""L12"", ""L6"", ""L0"", ""L6"", ""L18"", ""L18"", ""L6"", ""ALL""]"	11	2
ruler_vt_16k:0183	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""L18"", ""ALL"", ""L18"", ""L18"", ""OFF"", ""L12"", ""L12"", ""L24"", ""L0"", ""OFF"", ""L0"", ""L6"", ""L24"", ""L0"", ""L18""]"	12	6
ruler_vt_16k:0188	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""ALL"", ""L18"", ""ALL"", ""L18"", ""L0"", ""L24"", ""L18"", ""OFF"", ""L0"", ""L0"", ""OFF"", ""L18"", ""ALL"", ""OFF"", ""L18""]"	13	1
ruler_vt_16k:0194	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""OFF"", ""L12"", ""L12"", ""OFF"", ""L24"", ""L12"", ""L6"", ""ALL"", ""L0"", ""OFF"", ""L6"", ""L24"", ""ALL"", ""L24"", ""OFF""]"	13	1
ruler_vt_16k:0196	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L24"", ""L12"", ""L12"", ""L0"", ""ALL"", ""L0"", ""L18"", ""L24"", ""OFF"", ""OFF"", ""L18"", ""L12"", ""L6"", ""L0"", ""L0""]"	11	1
ruler_vt_16k:0199	ruler_vt_16k	378	0.4	0.6	0.6	0.19999999999999996	0.19999999999999996	0.0	random	"[""OFF"", ""L24"", ""ALL"", ""L6"", ""L18"", ""ALL"", ""L6"", ""L24"", ""OFF"", ""L18"", ""L0"", ""OFF"", ""L18"", ""L12"", ""L0""]"	14	2
ruler_vt_16k:0203	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L0"", ""ALL"", ""L6"", ""ALL"", ""OFF"", ""L18"", ""L18"", ""L12"", ""OFF"", ""L6"", ""ALL"", ""L6"", ""ALL"", ""ALL"", ""L24""]"	12	8
ruler_vt_16k:0220	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L6"", ""L24"", ""L12"", ""OFF"", ""L0"", ""OFF"", ""ALL"", ""L18"", ""OFF"", ""L12"", ""ALL"", ""L24"", ""ALL"", ""L18"", ""OFF""]"	14	3
ruler_vt_16k:0223	ruler_vt_16k	378	0.8	1.0	1.0	0.19999999999999996	0.19999999999999996	0.0	random	"[""L6"", ""L0"", ""L6"", ""ALL"", ""L0"", ""L6"", ""L6"", ""L6"", ""ALL"", ""L6"", ""L12"", ""L0"", ""L12"", ""L18"", ""OFF""]"	12	1
ruler_vt_16k:0226	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""L0"", ""L0"", ""L18"", ""L6"", ""L12"", ""L24"", ""L6"", ""ALL"", ""ALL"", ""L18"", ""L12"", ""ALL"", ""L12"", ""L18"", ""L12""]"	12	4
ruler_vt_16k:0237	ruler_vt_16k	378	0.4	0.8	0.8	0.4	0.4	0.0	random	"[""L0"", ""ALL"", ""L0"", ""L24"", ""ALL"", ""ALL"", ""L12"", ""L0"", ""L6"", ""L6"", ""L12"", ""L24"", ""L24"", ""OFF"", ""OFF""]"	10	1
ruler_vt_16k:0240	ruler_vt_16k	378	0.4	1.0	1.0	0.6	0.6	0.0	random	"[""L12"", ""L6"", ""OFF"", ""L12"", ""L0"", ""ALL"", ""L18"", ""ALL"", ""L0"", ""ALL"", ""ALL"", ""L24"", ""L24"", ""L12"", ""ALL""]"	12	7
