update_step,stage,cumulative_tokens,global_mean_loss,global_valid_tokens,global_answer_positions,global_context_positions,grad_norm_before_clip,grad_norm_after_clip,learning_rate,iteration_seconds_excluding_checkpoint,checkpoint_seconds,logged_at_unix
51,2,3324283,0.2791698947548866,65534,30,65504,262.0,1.0,5e-06,58.44588316511363,0.0,1789709434.976709
52,2,3389817,0.9007794857025146,65532,14,65518,1240.0,1.0,5e-06,58.250323293264955,0.0,1789709493.2276073
53,2,3455352,0.3864929974079132,65533,30,65503,490.0,1.0,5e-06,58.6043651457876,0.0,1789709551.8324783
54,2,3520887,0.31077465415000916,65533,21,65512,231.0,1.0,5e-06,58.31037337658927,0.0,1789709610.1433918
55,2,3586423,1.5047237873077393,65534,9,65525,1416.0,1.0,5e-06,58.149307544808835,0.0,1789709668.293227
56,2,3651958,0.6268640458583832,65533,28,65505,960.0,1.0,5e-06,58.33706617401913,0.0,1789709726.6308465
57,2,3717493,1.1179062724113464,65533,19,65514,860.0,1.0,5e-06,58.24767358601093,0.0,1789709784.8790495
58,2,3783027,0.2817581593990326,65532,30,65502,318.0,1.0,5e-06,58.40360550675541,0.0,1789709843.2831979
59,2,3846409,0.6326723992824554,63380,25,63355,462.0,1.0,5e-06,58.454942907672375,0.0,1789709901.7386696
60,2,3907722,0.5550492703914642,61311,23,61288,696.0,1.0,5e-06,53.2267594486475,0.0,1789709954.9659607
61,2,3969246,0.6559526175260544,61522,16,61506,1376.0,1.0,5e-06,53.135829001665115,0.0,1789710008.1023405
62,2,4032766,0.3711535073816776,63518,128,63390,282.0,1.0,5e-06,58.399506920948625,0.0,1789710066.5024204
63,2,4098302,0.36460457742214203,65534,265,65269,185.0,1.0,5e-06,58.507857526652515,0.0,1789710125.0108182
64,2,4163834,0.41703012585639954,65530,203,65327,162.0,1.0,5e-06,58.90456983400509,0.0,1789710183.9159136
65,2,4229370,0.3443845063447952,65534,238,65296,171.0,1.0,5e-06,58.87751949066296,0.0,1789710242.7939618
66,2,4294903,0.3762633055448532,65531,257,65274,187.0,1.0,5e-06,58.55723976902664,0.0,1789710301.3518138
67,2,4360438,0.40828943252563477,65533,239,65294,105.0,1.0,5e-06,58.867586279287934,0.0,1789710360.2199981
68,2,4425973,0.4684586524963379,65533,229,65304,268.0,1.0,5e-06,58.768003459088504,0.0,1789710418.9886212
69,2,4491508,0.29829685389995575,65533,252,65281,101.0,1.0,5e-06,58.83710463857278,0.0,1789710477.8262825
70,2,4556864,0.3676341474056244,65354,223,65131,175.0,1.0,5e-06,58.795937199145555,0.0,1789710536.622759
71,2,4616384,0.33849896490573883,59518,213,59305,97.5,1.0,5e-06,54.92989525105804,0.0,1789710591.553206
72,2,4681918,0.5798857808113098,65532,105,65427,408.0,1.0,5e-06,58.854430966079235,0.0,1789710650.408161
73,2,4747454,0.46311113238334656,65534,119,65415,308.0,1.0,5e-06,58.8208449119702,0.0,1789710709.2295492
74,2,4812990,0.46659205853939056,65534,79,65455,255.0,1.0,5e-06,58.67518693115562,0.0,1789710767.9053032
75,2,4878526,0.4352095127105713,65534,134,65400,356.0,1.0,5e-06,58.60868298262358,0.0,1789710826.5145328
76,2,4944062,0.41467873752117157,65534,97,65437,376.0,1.0,5e-06,58.79138258425519,0.0,1789710885.3064585
77,2,5009597,0.3485804796218872,65533,150,65383,69.0,1.0,5e-06,59.064873663242906,0.0,1789710944.3718698
78,2,5075132,0.4016815274953842,65533,123,65410,564.0,1.0,5e-06,58.52467470988631,0.0,1789711002.897099
79,2,5140668,0.33382004499435425,65534,103,65431,205.0,1.0,5e-06,58.86056185606867,0.0,1789711061.7582142
80,2,5206204,0.3032064139842987,65534,191,65343,93.0,1.0,5e-06,59.005571140907705,0.0,1789711120.7643652
81,2,5271737,0.6269429326057434,65531,91,65440,255.0,1.0,5e-06,58.86312023270875,0.0,1789711179.6280348
82,2,5337272,0.3632124364376068,65533,92,65441,235.0,1.0,5e-06,58.85083278827369,0.0,1789711238.4794111
83,2,5402808,0.5595445930957794,65534,93,65441,354.0,1.0,5e-06,58.93718122690916,0.0,1789711297.4171436
84,2,5468343,0.46330758929252625,65533,149,65384,260.0,1.0,5e-06,58.769583228975534,0.0,1789711356.1873367
85,2,5533879,0.42909613251686096,65534,122,65412,134.0,1.0,5e-06,59.22068635793403,0.0,1789711415.4086468
86,2,5599413,0.41531795263290405,65532,95,65437,181.0,1.0,5e-06,59.547439112793654,0.0,1789711474.956735
87,2,5664946,0.4852256327867508,65531,108,65423,200.0,1.0,5e-06,59.148797751870006,0.0,1789711534.106082
88,2,5730482,0.36002781987190247,65534,120,65414,129.0,1.0,5e-06,58.93266643676907,0.0,1789711593.0392845
89,2,5796017,0.41236966848373413,65533,129,65404,161.0,1.0,5e-06,59.134054345078766,0.0,1789711652.1739182
90,2,5861553,0.39756178855895996,65534,146,65388,158.0,1.0,5e-06,59.14441947825253,0.0,1789711711.3189764
91,2,5927088,0.5458097755908966,65533,76,65457,251.0,1.0,5e-06,58.774024665821344,0.0,1789711770.0936012
92,2,5992624,0.4056571274995804,65534,119,65415,201.0,1.0,5e-06,58.73302585398778,0.0,1789711828.8271558
93,2,6054303,0.26470066606998444,61677,101,61576,117.5,1.0,5e-06,55.76653053984046,0.0,1789711884.5942461
94,2,6116384,0.4246945157647133,62079,114,61965,148.0,1.0,5e-06,55.92239521071315,0.0,1789711940.51719
95,2,6181920,0.3682100176811218,65534,52,65482,430.0,1.0,5e-06,58.56040683109313,0.0,1789711999.0781488
96,2,6247454,0.5410267859697342,65532,48,65484,470.0,1.0,5e-06,58.62270937021822,0.0,1789712057.7013845
97,2,6312989,0.32142680138349533,65533,61,65472,484.0,1.0,5e-06,58.56828402495012,0.0,1789712116.2702417
98,2,6378524,0.481626495718956,65533,37,65496,452.0,1.0,5e-06,58.35623891884461,0.0,1789712174.6270218
99,2,6444060,0.27566538751125336,65534,75,65459,167.0,1.0,5e-06,58.80340019799769,0.0,1789712233.4309945
100,2,6509596,0.2972346246242523,65534,68,65466,167.0,1.0,5e-06,58.53738320339471,0.0,1789712291.9689612
101,2,6575132,0.5254099071025848,65534,43,65491,536.0,1.0,5e-06,58.43035488994792,0.0,1789712350.3998685
102,2,6640667,0.3496959060430527,65533,53,65480,223.0,1.0,5e-06,58.54514754796401,0.0,1789712408.9456263
103,2,6706203,0.2990957051515579,65534,46,65488,274.0,1.0,5e-06,58.362198843155056,0.0,1789712467.3083727
104,2,6771738,0.5723029971122742,65533,32,65501,724.0,1.0,5e-06,58.344834024086595,0.0,1789712525.6537685
105,2,6837001,0.4046429395675659,65261,71,65190,278.0,1.0,5e-06,58.66184436716139,0.0,1789712584.3162036
106,2,6902035,0.31267210841178894,65032,73,64959,240.0,1.0,5e-06,58.30209229607135,0.0,1789712642.6188526
107,2,6967344,0.5451954305171967,65307,71,65236,256.0,1.0,5e-06,58.610660715959966,0.0,1789712701.2300649
108,2,7032765,0.6813572943210602,65419,173,65246,378.0,1.0,5e-06,58.51510515110567,0.0,1789712759.7457418
109,2,7098296,0.7974750995635986,65529,322,65207,326.0,1.0,5e-06,58.70652369596064,0.0,1789712818.4528484
110,2,7163830,0.7548478543758392,65532,355,65177,270.0,1.0,5e-06,58.75857909210026,0.0,1789712877.2120233
111,2,7229366,0.7524791061878204,65534,339,65195,322.0,1.0,5e-06,58.71386751299724,0.0,1789712935.926461
112,2,7292230,0.7214435040950775,62862,351,62511,232.0,1.0,5e-06,57.603580886963755,0.0,1789712993.5306115
113,2,7357344,0.7586244642734528,65112,210,64902,328.0,1.0,5e-06,58.44677596678957,0.0,1789713051.97797
114,2,7422880,0.9586463272571564,65534,149,65385,652.0,1.0,5e-06,58.57796221598983,0.0,1789713110.556482
115,2,7488413,0.8370409905910492,65531,162,65369,604.0,1.0,5e-06,58.7543113110587,0.0,1789713169.3113325
116,2,7553948,0.6481642723083496,65533,184,65349,338.0,1.0,5e-06,58.93000049330294,0.0,1789713228.2418828
117,2,7619484,0.6600440740585327,65534,187,65347,588.0,1.0,5e-06,58.78462912514806,0.0,1789713287.027064
118,2,7685019,0.7393856048583984,65533,140,65393,480.0,1.0,5e-06,58.55251084174961,0.0,1789713345.5801373
119,2,7750555,0.73268923163414,65534,148,65386,454.0,1.0,5e-06,58.59396088728681,0.0,1789713404.174679
120,2,7816090,0.8400223553180695,65533,182,65351,346.0,1.0,5e-06,58.78171971999109,0.0,1789713462.9569654
121,2,7881624,0.5542249083518982,65532,189,65343,215.0,1.0,5e-06,58.76847362704575,0.0,1789713521.7259903
122,2,7947159,0.700605183839798,65533,176,65357,250.0,1.0,5e-06,58.716377574019134,0.0,1789713580.4429247
123,2,8010391,0.7914698123931885,63230,183,63047,272.0,1.0,5e-06,56.17444873088971,0.0,1789713636.6179292
124,2,8066384,0.7115769982337952,55991,75,55916,968.0,1.0,5e-06,56.03988438192755,0.0,1789713692.658397
125,2,8131919,0.9631228446960449,65533,109,65424,688.0,1.0,5e-06,58.95694513991475,0.0,1789713751.6159286
126,2,8197455,0.8326675295829773,65534,53,65481,540.0,1.0,5e-06,59.057690052781254,0.0,1789713810.674217
127,2,8262989,0.5705493688583374,65532,84,65448,648.0,1.0,5e-06,59.05184637987986,0.0,1789713869.7266126
128,2,8327757,0.6442822515964508,64766,112,64654,442.0,1.0,5e-06,58.922217627987266,0.0,1789713928.6493897
129,2,8390266,0.6686832010746002,62507,75,62432,644.0,1.0,5e-06,55.2747513926588,0.0,1789713983.9247224
130,2,8452930,1.2176908254623413,62662,86,62576,596.0,1.0,5e-06,55.58617472695187,0.0,1789714039.5114899
131,2,8516383,1.1078639924526215,63451,71,63380,496.0,1.0,5e-06,56.73178994702175,0.0,1789714096.243876
132,2,8581918,0.9996432065963745,65533,35,65498,652.0,1.0,5e-06,58.32621007505804,0.0,1789714154.5706618
133,2,8647453,0.9246070981025696,65533,29,65504,1080.0,1.0,5e-06,58.50714254099876,0.0,1789714213.078368
134,2,8708192,0.9995101094245911,60737,35,60702,696.0,1.0,5e-06,56.894817950204015,0.0,1789714269.9737659
135,2,8773727,1.2991381883621216,65533,17,65516,1800.0,1.0,5e-06,58.20758860837668,0.0,1789714328.1818936
136,2,8839263,0.7793999314308167,65534,19,65515,502.0,1.0,5e-06,58.19549004686996,0.0,1789714386.3779702
137,2,8904799,1.1995150446891785,65534,16,65518,1096.0,1.0,5e-06,58.16890137968585,0.0,1789714444.5474534
138,2,8970334,0.8639359176158905,65533,18,65515,920.0,1.0,5e-06,58.19137268792838,0.0,1789714502.7394154
139,2,9035869,1.9159561395645142,65533,15,65518,2000.0,1.0,5e-06,58.20296739274636,0.0,1789714560.9429536
140,2,9101403,0.9302009344100952,65532,14,65518,960.0,1.0,5e-06,58.216252722777426,0.0,1789714619.1597435
141,2,9162146,0.8508523106575012,60741,20,60721,616.0,1.0,5e-06,53.453245433978736,0.0,1789714672.6135342
142,2,9216384,0.6533362716436386,54236,9,54227,274.0,1.0,5e-06,52.30216945288703,0.0,1789714724.916288
143,2,9281920,0.2652273625135422,65534,10,65524,184.0,1.0,5e-06,58.09385410603136,0.0,1789714783.0106692
144,2,9345499,1.9582860469818115,63577,8,63569,3520.0,1.0,5e-06,58.20622213277966,0.0,1789714841.217465
145,2,9407135,0.7556420415639877,61634,8,61626,1208.0,1.0,5e-06,53.21825934993103,0.0,1789714894.4363132
146,2,9469046,0.6656135767698288,61909,7,61902,1176.0,1.0,5e-06,53.4967094482854,0.0,1789714947.9335895
147,2,9532768,0.526619553565979,63720,28,63692,290.0,1.0,5e-06,58.21411364013329,0.0,1789715006.1482792
148,2,9596074,0.417464941740036,63304,63,63241,680.0,1.0,5e-06,56.6776252258569,0.0,1789715062.826463
149,2,9657343,0.2462092787027359,61267,43,61224,237.0,1.0,5e-06,58.150613429024816,0.0,1789715120.9776056
150,2,9722879,0.40503883361816406,65534,34,65500,312.0,1.0,5e-06,58.20350024709478,0.0,1789715179.1816397
151,2,9786998,0.38220345973968506,64117,42,64075,588.0,1.0,5e-06,58.39278082083911,0.0,1789715237.5749679
152,2,9850000,0.23607832193374634,63000,33,62967,208.0,1.0,5e-06,55.348489803727716,0.0,1789715292.924021
153,2,9909863,0.9676971361041069,59861,13,59848,1176.0,1.0,5e-06,51.29370150715113,0.0,1789715344.2182667
154,2,9969931,0.28443510830402374,60066,12,60054,274.0,1.0,5e-06,51.514595021959394,0.0,1789715395.733418
155,2,10033779,0.5183972120285034,63846,536,63310,218.0,1.0,5e-06,57.32366518303752,0.0,1789715453.0576408
156,2,10098607,0.4804896414279938,64826,860,63966,115.0,1.0,5e-06,57.93633314827457,0.0,1789715510.9945123
157,2,10163752,0.4754367172718048,65143,969,64174,75.0,1.0,5e-06,58.93445977428928,0.0,1789715569.9295194
158,2,10228652,0.4986988604068756,64898,1068,63830,76.0,1.0,5e-06,58.88937216764316,0.0,1789715628.819431
159,2,10293101,0.44364725053310394,64447,769,63678,78.0,1.0,5e-06,58.1758820367977,0.0,1789715686.9958825
160,2,10357106,0.42102769017219543,64003,932,63071,73.0,1.0,5e-06,57.30489176791161,0.0,1789715744.301354
161,2,10421444,0.4895818829536438,64336,901,63435,70.5,1.0,5e-06,58.42602120805532,0.0,1789715802.7279246
162,2,10486657,0.4404684901237488,65211,876,64335,44.0,1.0,5e-06,58.74096838897094,0.0,1789715861.469492
163,2,10550237,0.3702298104763031,63578,815,62763,71.0,1.0,5e-06,57.013727616053075,0.0,1789715918.4838245
164,2,10615650,0.4666852205991745,65411,994,64417,80.0,1.0,5e-06,58.66428595362231,0.0,1789715977.148693
165,2,10681057,0.4927680790424347,65405,796,64609,73.0,1.0,5e-06,58.82222983893007,0.0,1789716035.9714854
166,2,10746468,0.5274941921234131,65409,676,64733,100.0,1.0,5e-06,59.04469614382833,0.0,1789716095.0167704
167,2,10811214,0.4755474478006363,64744,985,63759,67.0,1.0,5e-06,58.31977890711278,0.0,1789716153.3371441
168,2,10876169,0.42623595893383026,64953,802,64151,61.75,1.0,5e-06,58.70821177819744,0.0,1789716212.0459294
169,2,10941629,0.45267488062381744,65458,1053,64405,80.0,1.0,5e-06,59.160046223085374,0.0,1789716271.2065654
170,2,11007044,0.4170437604188919,65413,927,64486,55.25,1.0,5e-06,59.01638808613643,0.0,1789716330.2235715
171,2,11071883,0.44967180490493774,64837,842,63995,154.0,1.0,5e-06,58.88818046217784,0.0,1789716389.1124506
172,2,11137075,0.43262287974357605,65190,746,64444,101.5,1.0,5e-06,58.50056037073955,0.0,1789716447.6135912
173,2,11202104,0.41759319603443146,65027,840,64187,85.0,1.0,5e-06,58.51435707695782,0.0,1789716506.1284838
174,2,11266324,0.45580747723579407,64218,834,63384,76.5,1.0,5e-06,57.2684833612293,0.0,1789716563.3975363
175,2,11331139,0.40192554891109467,64813,892,63921,71.5,1.0,5e-06,58.49029269674793,0.0,1789716621.8884633
176,2,11395935,0.3973691761493683,64794,1036,63758,56.5,1.0,5e-06,58.65744420699775,0.0,1789716680.5464852
177,2,11461398,0.40203991532325745,65461,1090,64371,50.25,1.0,5e-06,58.452973439358175,0.0,1789716739.000027
178,2,11526199,0.42131999135017395,64799,996,63803,46.75,1.0,5e-06,57.83939911890775,0.0,1789716796.8399928
179,2,11591508,0.4133895933628082,65307,884,64423,70.5,1.0,5e-06,58.672199910040945,0.0,1789716855.5127473
180,2,11656423,0.43738752603530884,64913,865,64048,62.5,1.0,5e-06,58.70554092293605,0.0,1789716914.2188365
181,2,11721380,0.4157680571079254,64955,893,64062,84.5,1.0,5e-06,58.45826427498832,0.0,1789716972.6776483
182,2,11786406,0.4756714701652527,65024,780,64244,102.5,1.0,5e-06,58.80466183787212,0.0,1789717031.4829123
183,2,11851340,0.47956062853336334,64932,824,64108,63.75,1.0,5e-06,58.425931775942445,0.0,1789717089.9094179
184,2,11916059,0.43543730676174164,64717,951,63766,50.75,1.0,5e-06,58.16715237405151,0.0,1789717148.0771294
185,2,11980859,0.4320877641439438,64798,982,63816,48.5,1.0,5e-06,58.58518638787791,0.0,1789717206.6628613
186,2,12044612,0.41523614525794983,63751,888,62863,46.0,1.0,5e-06,58.41133447596803,0.0,1789717265.074761
187,2,12109766,0.4557735174894333,65152,860,64292,64.5,1.0,5e-06,58.20765073085204,0.0,1789717323.2829807
188,2,12175116,0.4422585964202881,65348,870,64478,71.0,1.0,5e-06,58.77082012826577,0.0,1789717382.0543811
189,2,12239579,0.5196443200111389,64461,734,63727,108.5,1.0,5e-06,58.61037717200816,0.0,1789717440.6653514
190,2,12305030,0.501645028591156,65449,701,64748,73.5,1.0,5e-06,58.80583656206727,0.0,1789717499.4717839
191,2,12370047,0.4658341705799103,65015,898,64117,61.5,1.0,5e-06,58.81199401104823,0.0,1789717558.2843723
192,2,12435338,0.46485477685928345,65289,739,64550,65.0,1.0,5e-06,58.48662330210209,0.0,1789717616.7715707
193,2,12500244,0.4540126621723175,64904,781,64123,59.75,1.0,5e-06,57.99248735187575,0.0,1789717674.7646263
194,2,12565496,0.4065452069044113,65250,899,64351,70.0,1.0,5e-06,58.53172575775534,0.0,1789717733.2969122
195,2,12630671,0.42616839706897736,65173,861,64312,58.0,1.0,5e-06,59.13847712101415,0.0,1789717792.4360006
196,2,12695460,0.4509393274784088,64787,766,64021,99.0,1.0,5e-06,58.546360502019525,0.0,1789717850.98292
197,2,12760401,0.4741691052913666,64939,860,64079,80.0,1.0,5e-06,58.891629225574434,0.0,1789717909.8751001
198,2,12824942,0.4145320802927017,64539,760,63779,81.0,1.0,5e-06,58.61991276917979,0.0,1789717968.4955683
199,2,12889525,0.4206352233886719,64581,912,63669,76.0,1.0,5e-06,58.06119407527149,0.0,1789718026.557335
200,2,12954165,0.48418113589286804,64638,726,63912,74.0,1.0,5e-06,57.71165507193655,0.0,1789718084.2695494
201,2,13019307,0.4472281187772751,65140,906,64234,59.25,1.0,5e-06,58.837278129998595,0.0,1789718143.1074114
202,2,13084376,0.43030571937561035,65067,807,64260,79.0,1.0,5e-06,58.62064882880077,0.0,1789718201.728668
203,2,13149789,0.4262099415063858,65411,693,64718,57.5,1.0,5e-06,58.698537225369364,0.0,1789718260.4278002
204,2,13215154,0.4242938309907913,65363,960,64403,57.25,1.0,5e-06,58.79470306681469,0.0,1789718319.2230818
205,2,13280222,0.42549508810043335,65066,839,64227,54.25,1.0,5e-06,58.257378060836345,0.0,1789718377.4810045
206,2,13345646,0.4042113721370697,65422,1016,64406,57.5,1.0,5e-06,59.07903461297974,0.0,1789718436.560662
207,2,13410921,0.41536132991313934,65273,901,64372,52.0,1.0,5e-06,59.47542642522603,0.0,1789718496.0366888
208,2,13475449,0.4204863905906677,64526,886,63640,53.5,1.0,5e-06,58.32546113571152,0.0,1789718554.3627238
209,2,13540549,0.39802634716033936,65098,995,64103,50.75,1.0,5e-06,58.36671476997435,0.0,1789718612.7300277
210,2,13605924,0.3790012300014496,65373,1071,64302,53.0,1.0,5e-06,58.76287681609392,0.0,1789718671.4935346
211,2,13671034,0.39186355471611023,65108,846,64262,72.0,1.0,5e-06,58.52507989201695,0.0,1789718730.0191774
212,2,13734987,0.3640502393245697,63951,885,63066,57.75,1.0,5e-06,57.04024570900947,0.0,1789718787.0600228
213,2,13799898,0.3416793793439865,64909,1029,63880,41.75,1.0,5e-06,58.423618021886796,0.0,1789718845.4842052
214,2,13865111,0.4176345765590668,65211,962,64249,77.0,1.0,5e-06,58.70123864617199,0.0,1789718904.1860073
215,2,13930463,0.4047430455684662,65350,846,64504,79.5,1.0,5e-06,58.79805621225387,0.0,1789718962.9846232
216,2,13995741,0.40353207290172577,65276,794,64482,87.5,1.0,5e-06,58.487791740335524,0.0,1789719021.4729912
217,2,14060910,0.4312029927968979,65167,973,64194,64.5,1.0,5e-06,58.65367293730378,0.0,1789719080.1272526
218,2,14124970,0.3863179385662079,64058,958,63100,49.75,1.0,5e-06,56.96944682486355,0.0,1789719137.097261
219,2,14190207,0.37332192063331604,65235,910,64325,59.75,1.0,5e-06,58.551427179947495,0.0,1789719195.6492364
220,2,14255088,0.42679463326931,64879,1041,63838,88.0,1.0,5e-06,59.02937655989081,0.0,1789719254.6792133
221,2,14320266,0.42885370552539825,65176,822,64354,61.25,1.0,5e-06,58.49133710609749,0.0,1789719313.1711395
222,2,14384877,0.3517163246870041,64609,819,63790,55.25,1.0,5e-06,58.27427179599181,0.0,1789719371.4459796
223,2,14449856,0.42168499529361725,64977,749,64228,51.5,1.0,5e-06,58.77861319994554,0.0,1789719430.2251854
224,2,14514703,0.4171934723854065,64845,892,63953,59.25,1.0,5e-06,59.02082898002118,0.0,1789719489.2466238
225,2,14579779,0.4234413504600525,65074,879,64195,69.0,1.0,5e-06,58.22360001131892,0.0,1789719547.4708273
226,2,14644619,0.4267169088125229,64838,938,63900,39.25,1.0,5e-06,58.92861596727744,0.0,1789719606.4000156
227,2,14709392,0.43570639193058014,64771,806,63965,71.0,1.0,5e-06,58.47716240910813,0.0,1789719664.8777742
228,2,14773819,0.4287570118904114,64425,798,63627,64.5,1.0,5e-06,58.44993855198845,0.0,1789719723.3283074
229,2,14838298,0.4426908940076828,64477,846,63631,62.25,1.0,5e-06,58.59276532800868,0.0,1789719781.9217048
230,2,14903446,0.36900269985198975,65146,1042,64104,41.0,1.0,5e-06,58.229849034920335,0.0,1789719840.152114
231,2,14968340,0.4190967082977295,64892,963,63929,67.0,1.0,5e-06,58.0229753004387,0.0,1789719898.1756666
232,2,15032355,0.4441172629594803,64013,962,63051,67.0,1.0,5e-06,56.800434114877135,0.0,1789719954.976729
233,2,15096674,0.5007650554180145,64317,1017,63300,78.5,1.0,5e-06,57.704616806004196,0.0,1789720012.6819253
234,2,15161333,0.42952361702919006,64657,749,63908,59.5,1.0,5e-06,58.410965538118035,0.0,1789720071.0934765
