set,task,n,type,observed_mass,observed_fraction,expected_mass,enrichment
match,ruler_qa_squad_16k,15,OFF_to_ALL,0.9418729808203492,0.06279153205468994,0.5,1.8837459616406984
match,ruler_qa_squad_16k,15,OFF_to_layer,0.5576689976689977,0.03717793317793318,1.0,0.5576689976689977
match,ruler_qa_squad_16k,15,deep_to_shallow,4.706105648737228,0.3137403765824819,2.82008281573499,1.6687827827179216
match,ruler_qa_squad_16k,15,layer_to_ALL,2.712483656694183,0.18083224377961218,3.17991718426501,0.853004496505821
match,ruler_qa_squad_16k,15,layer_to_OFF,0.39620046620046623,0.026413364413364414,1.0,0.39620046620046623
match,ruler_qa_squad_16k,15,shallow_to_deep,2.44267329162066,0.162844886108044,2.8200828157349895,0.8661707656213046
match,ruler_vt_16k,71,ALL_to_OFF,2.7402782598729503,0.038595468448914795,1.263846153846154,2.16820556167671
match,ruler_vt_16k,71,ALL_to_layer,12.977405569283583,0.1827803601307547,9.754134850674605,1.330451728211042
match,ruler_vt_16k,71,OFF_to_ALL,1.8008302530362659,0.025363806380792477,1.263846153846154,1.4248809062368504
match,ruler_vt_16k,71,OFF_to_layer,5.610818365290769,0.07902561077874323,6.343465195995991,0.8845036887460705
match,ruler_vt_16k,71,deep_to_shallow,14.506403699973323,0.2043155450700468,18.13855379948325,0.7997552539379735
match,ruler_vt_16k,71,layer_to_ALL,10.603087738038479,0.14933926391603491,9.754134850674605,1.0870351805014424
match,ruler_vt_16k,71,layer_to_OFF,5.169983211394804,0.07281666494922259,6.343465195995991,0.8150093129947507
match,ruler_vt_16k,71,shallow_to_deep,17.591192903109828,0.24776328032549053,18.13855379948325,0.9698233441086678
