set,task,n,A,B,observed_mass,observed_fraction,expected_mass,enrichment
match,ruler_niah_multivalue_16k,8,L18,L12,0.06327433628318585,0.007909292035398231,0.0,
match,ruler_niah_multivalue_16k,8,L18,L24,0.13561595729737325,0.016951994662171656,0.02631578947368421,5.1534063773001835
match,ruler_niah_multivalue_16k,8,L18,ALL,0.15645447655634936,0.01955680956954367,0.5,0.31290895311269873
match,ruler_niah_multivalue_16k,8,L24,OFF,0.01327433628318584,0.00165929203539823,0.5,0.02654867256637168
match,ruler_niah_multivalue_16k,8,L24,L0,0.07859249894648124,0.009824062368310155,0.8157894736842106,0.09633919225697699
match,ruler_niah_multivalue_16k,8,L24,L6,0.20574273888741884,0.025717842360927355,0.0,
match,ruler_niah_multivalue_16k,8,L24,L12,0.09537970775879812,0.011922463469849764,0.0,
match,ruler_niah_multivalue_16k,8,L24,L18,0.01327433628318584,0.00165929203539823,0.02631578947368421,0.504424778761062
match,ruler_niah_multivalue_16k,8,L24,ALL,0.2945860569651473,0.03682325712064341,0.0,
match,ruler_niah_multivalue_16k,8,ALL,OFF,0.4413892400618064,0.0551736550077258,0.0,
match,ruler_niah_multivalue_16k,8,ALL,L0,0.14972257339513978,0.018715321674392472,0.0,
match,ruler_niah_multivalue_16k,8,ALL,L6,0.25377388384179905,0.03172173548022488,0.018518518518518517,13.70378972745715
match,ruler_niah_multivalue_16k,8,ALL,L12,0.34323755296177605,0.042904694120222006,0.24074074074074073,1.4257559892258391
match,ruler_niah_multivalue_16k,8,ALL,L18,0.1095835089197921,0.013697938614974012,0.5,0.2191670178395842
match,ruler_niah_multivalue_16k,8,ALL,L24,0.6599428486493726,0.08249285608117157,0.0,
match,ruler_qa_hotpotqa_16k,12,OFF,L0,0.6208010335917314,0.05173341946597762,0.0,
match,ruler_qa_hotpotqa_16k,12,OFF,L6,0,0.0,0.5087719298245614,0.0
match,ruler_qa_hotpotqa_16k,12,OFF,L12,0.2772240679217423,0.023102005660145194,0.0,
match,ruler_qa_hotpotqa_16k,12,OFF,L18,0.08333333333333333,0.006944444444444444,0.05508771929824562,1.5127388535031845
match,ruler_qa_hotpotqa_16k,12,OFF,L24,0,0.0,0.24000000000000002,0.0
match,ruler_qa_hotpotqa_16k,12,OFF,ALL,0.4719915097822074,0.03933262581518395,0.07017543859649124,6.725879014396455
match,ruler_qa_hotpotqa_16k,12,L0,OFF,0.1298449612403101,0.010820413436692508,0.0,
match,ruler_qa_hotpotqa_16k,12,L0,L6,0.22624269005847952,0.018853557504873292,0.0,
match,ruler_qa_hotpotqa_16k,12,L0,L12,0.1298449612403101,0.010820413436692508,0.5,0.2596899224806202
match,ruler_qa_hotpotqa_16k,12,L0,L18,0.8520671834625324,0.0710055986218777,0.5,1.7041343669250648
match,ruler_qa_hotpotqa_16k,12,L0,L24,0.3965116279069767,0.03304263565891472,0.0,
match,ruler_qa_hotpotqa_16k,12,L0,ALL,0.16776315789473684,0.013980263157894737,0.0,
match,ruler_qa_hotpotqa_16k,12,L6,OFF,0.2802937576499388,0.0233578131374949,0.5087719298245614,0.5509222133119487
match,ruler_qa_hotpotqa_16k,12,L6,L0,0.4444444444444444,0.037037037037037035,0.0,
match,ruler_qa_hotpotqa_16k,12,L6,L12,0.3192982456140351,0.026608187134502925,0.5,0.6385964912280702
match,ruler_qa_hotpotqa_16k,12,L6,L18,0.27325581395348836,0.022771317829457363,0.5350877192982456,0.5106747998475029
match,ruler_qa_hotpotqa_16k,12,L6,L24,0.204406364749082,0.017033863729090166,0.0,
match,ruler_qa_hotpotqa_16k,12,L6,ALL,0.2270671834625323,0.01892226528854436,0.07017543859649124,3.235707364341085
match,ruler_qa_hotpotqa_16k,12,L12,OFF,0,0.0,0.0,
match,ruler_qa_hotpotqa_16k,12,L12,L0,0.5902777777777778,0.04918981481481482,0.5,1.1805555555555556
match,ruler_qa_hotpotqa_16k,12,L12,L6,0.43881506090808414,0.036567921742340345,0.5,0.8776301218161683
match,ruler_qa_hotpotqa_16k,12,L12,L18,0.027777777777777776,0.0023148148148148147,0.0,
match,ruler_qa_hotpotqa_16k,12,L12,L24,0.027777777777777776,0.0023148148148148147,0.24000000000000002,0.11574074074074073
match,ruler_qa_hotpotqa_16k,12,L12,ALL,0.7180232558139534,0.05983527131782945,0.24000000000000002,2.9917635658914725
match,ruler_qa_hotpotqa_16k,12,L18,OFF,0.12777777777777777,0.010648148148148148,0.05508771929824562,2.3195329087048826
match,ruler_qa_hotpotqa_16k,12,L18,L0,0.5742894056847546,0.04785745047372955,0.5,1.1485788113695092
match,ruler_qa_hotpotqa_16k,12,L18,L6,0.2260641914864681,0.01883868262387234,0.5350877192982456,0.4224806201550388
match,ruler_qa_hotpotqa_16k,12,L18,L12,0,0.0,0.0,
match,ruler_qa_hotpotqa_16k,12,L18,L24,0.3111111111111111,0.025925925925925925,1.24,0.25089605734767023
