sample_id,task,T,sample_best,native,gain,switch_count,distinct_actions,longest_run,mean_run_length,max_run_fraction,entropy,return_count,aba_n,first_switch_norm,last_switch_norm,r2_score,r2_recovery,at_most_one_switch_recovery,r2_match,r2_match_n,r2_best_n,r2_matching_pair_n,r2_max_plateau_n,r2_coverage,best_A,best_B,best_tau,best_tau_norm,best_mean_distance_first_norm,best_mean_distance_last_norm,available_reverse_pairs,available_reverse_mean_abs_delta,available_reverse_unequal_fraction,best_reverse_delta_if_observed,selected_best_prediction_match,any_matching_prediction_match,matching_prediction_fraction,trajectory
ruler_vt_16k:0083,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,5,5,4,2,1.0,L0,L24,1,0.06666666666666667,0.24000000000000005,0.24000000000000005,294,0.0034013605442176865,0.017006802721088437,0.19999999999999996,True,True,1.0,"[""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]"
ruler_vt_16k:0086,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,38,38,22,3,1.0,L0,L18,1,0.06666666666666667,0.4456140350877193,0.4456140350877193,294,0.024489795918367342,0.12244897959183673,0.19999999999999996,True,True,1.0,"[""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]"
ruler_vt_16k:0091,ruler_vt_16k,15,0.6,0.8,0.20000000000000007,4,3,9,3.0,0.6,0.9055872616982603,2,2,0.06666666666666667,0.4,0.8,1.0,1.0,True,9,9,8,2,1.0,L18,L6,3,0.2,0.5851851851851853,0.29629629629629634,294,0.006122448979591839,0.030612244897959183,0.20000000000000007,True,True,1.0,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0093,ruler_vt_16k,15,0.4,0.8,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.8,1.0,1.0,True,25,25,17,2,1.0,OFF,L18,1,0.06666666666666667,0.4266666666666667,0.4266666666666667,294,0.034013605442176874,0.08503401360544217,0.4,True,True,1.0,"[""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0098,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,7,7,7,1,1.0,ALL,L0,1,0.06666666666666667,0.3619047619047619,0.3619047619047619,294,0.004761904761904761,0.023809523809523808,0.19999999999999996,True,True,1.0,"[""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_vt_16k:0108,ruler_vt_16k,15,0.6,0.8,0.20000000000000007,2,3,13,5.0,0.8666666666666667,0.6998428398862386,0,0,0.06666666666666667,0.13333333333333333,0.8,1.0,1.0,True,2,2,2,1,1.0,L6,L0,8,0.5333333333333333,0.6,0.5333333333333333,294,0.054421768707482984,0.2653061224489796,0.4,True,True,1.0,"[""ALL"", ""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_vt_16k:0113,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,4,3,11,3.0,0.7333333333333333,0.9055872616982603,2,1,0.06666666666666667,0.26666666666666666,1.0,1.0,1.0,True,3,3,3,1,1.0,L6,ALL,4,0.26666666666666666,0.5777777777777778,0.37777777777777777,294,0.002040816326530612,0.01020408163265306,0.19999999999999996,True,True,1.0,"[""L24"", ""L18"", ""L0"", ""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_vt_16k:0123,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,6,4,7,2.142857142857143,0.4666666666666667,1.0389205950315936,3,3,0.06666666666666667,0.5333333333333333,1.0,1.0,1.0,True,1,1,1,1,1.0,OFF,L12,13,0.8666666666666667,0.8,0.3333333333333333,294,0.0006802721088435373,0.003401360544217687,0.19999999999999996,True,True,1.0,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0139,ruler_vt_16k,15,0.4,1.0,0.6,2,2,13,5.0,0.8666666666666667,0.35335933502142136,1,1,0.06666666666666667,0.13333333333333333,1.0,1.0,1.0,True,8,8,6,1,1.0,L12,ALL,2,0.13333333333333333,0.4,0.33333333333333337,294,0.016326530612244896,0.027210884353741496,0.6,True,True,1.0,"[""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0140,ruler_vt_16k,15,0.6,0.8,0.20000000000000007,4,3,11,3.0,0.7333333333333333,0.9055872616982603,2,0,0.06666666666666667,0.26666666666666666,0.8,1.0,1.0,True,8,8,8,1,1.0,L6,OFF,5,0.3333333333333333,0.4,0.2,294,0.06258503401360543,0.14285714285714285,0.6000000000000001,True,True,1.0,"[""OFF"", ""L18"", ""L6"", ""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0149,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,3,4,12,3.75,0.8,1.0389205950315936,0,0,0.06666666666666667,0.2,1.0,1.0,1.0,True,3,3,3,1,1.0,L12,L24,6,0.4,0.4666666666666666,0.3333333333333333,294,0.35850340136054426,0.6054421768707483,0.19999999999999996,True,True,1.0,"[""OFF"", ""L18"", ""L0"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_vt_16k:0157,ruler_vt_16k,15,0.6,1.0,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,51,51,31,2,1.0,OFF,L12,1,0.06666666666666667,0.33856209150326794,0.33856209150326794,294,0.06666666666666667,0.16666666666666666,0.4,True,True,1.0,"[""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]"
ruler_vt_16k:0160,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,3,3,10,3.75,0.6666666666666666,0.9055872616982603,1,1,0.06666666666666667,0.3333333333333333,1.0,1.0,1.0,True,6,6,6,1,1.0,OFF,L6,9,0.6,0.6222222222222222,0.35555555555555557,294,0.004081632653061224,0.02040816326530612,0.19999999999999996,True,True,1.0,"[""L6"", ""L12"", ""L12"", ""OFF"", ""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
ruler_vt_16k:0164,ruler_vt_16k,15,0.6,0.8,0.20000000000000007,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.8,1.0,1.0,True,11,11,10,2,1.0,L12,L0,1,0.06666666666666667,0.5696969696969698,0.5696969696969698,294,0.007482993197278914,0.03741496598639456,0.20000000000000007,True,True,0.36363636363636365,"[""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
