cohort,A,B,matching_samples,observed_sample_mass,native_marginal_expected,descriptive_enrichment
multi_matched,L6,L18,62,2.377390180878553,2.115255702435828,1.1239256691949173
multi_matched,L6,L24,62,0.2375835338144881,0.605086695969297,0.39264379038097946
multi_matched,L6,ALL,62,2.0697141938521253,0.6816166894190173,3.036478164312946
multi_matched,L12,OFF,62,0.3142857142857142,0.8650101870882482,0.3633318069277846
multi_matched,L12,L0,62,1.5283089515848138,3.5052229610018104,0.43600905522655126
multi_matched,L12,L6,62,1.364922480620155,1.86058034651288,0.7336003968752586
multi_matched,L12,L18,62,1.0451642672572903,4.349279078455824,0.24030747358441926
multi_matched,L12,L24,62,0.7226190476190475,1.2441478845326803,0.5808144325949431
multi_matched,L12,ALL,62,1.9968052257597166,1.4015048882282313,1.4247579459277222
multi_matched,L18,OFF,62,0.26666666666666666,0.9834123714854756,0.27116464506528243
multi_matched,L18,L0,62,1.826694322252793,3.9850162184419,0.45839068704393165
multi_matched,L18,L6,62,0.28101978910876785,2.115255702435828,0.13285381468782181
multi_matched,L18,L12,62,0.7166666666666666,4.349279078455824,0.16477826640665083
multi_matched,L18,L24,62,0.5587301587301587,1.4144462572463306,0.3950168879642728
multi_matched,L18,ALL,62,1.394658283777169,1.59334221302113,0.8753036682137246
multi_matched,L24,OFF,62,0.39999999999999997,0.281313385399338,1.4219017677817947
multi_matched,L24,L0,62,1.2862684729064038,1.1399474277385735,1.1283577133535903
multi_matched,L24,L6,62,0.5858393477679765,0.6050866959692971,0.968190759556384
multi_matched,L24,L12,62,0.4894646051622795,1.2441478845326803,0.39341352523066775
multi_matched,L24,L18,62,0.3344827586206897,1.4144462572463306,0.23647611700133928
multi_matched,L24,ALL,62,3.894081276804813,0.45578894982537577,8.543606154332469
multi_matched,ALL,OFF,62,2.325707506095437,0.3168932645891167,7.339087844328107
multi_matched,ALL,L0,62,2.0667105841018882,1.2841253939027566,1.609430507265862
multi_matched,ALL,L6,62,1.1909852098805587,0.6816166894190173,1.7472946721649474
multi_matched,ALL,L12,62,3.4816603643839006,1.4015048882282313,2.484229911452811
