sample_id,task,improved,T,candidate_n,duplicate_sequence_n,observed_one_switch_n,full_R2_expected_n,R2_coverage,complete_R2,reverse_available_n
ruler_fwe_16k:0148,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0149,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0150,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0151,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0156,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0157,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0159,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0160,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0161,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0164,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0166,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0167,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0168,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0169,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0170,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0171,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0175,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0176,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0177,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0178,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0179,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0180,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0184,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0188,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0189,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0190,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0191,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0192,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0194,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0196,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0197,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0198,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0200,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0203,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0204,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0205,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0206,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0207,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0208,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0209,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0210,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0211,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0212,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0213,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0215,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0216,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0218,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0219,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0221,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0222,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0224,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0226,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0227,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0228,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0229,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0231,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0232,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0233,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0235,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0237,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0238,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0240,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0241,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0242,ruler_fwe_16k,True,15,385,0,44,588,0.07482993197278912,False,0
ruler_fwe_16k:0246,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0247,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0248,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0249,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0253,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0254,ruler_fwe_16k,True,14,361,0,44,546,0.08058608058608059,False,0
