sample_id,task,native_score,deletion_score,random_score,native_minus_random_pp,random_minus_deletion_pp,n_branches,n_seeds
ruler_niah_multikey_2_16k:0045,ruler_niah_multikey_2_16k,1.0,0.4,0.4,60.0,0.0,5,5
ruler_niah_multikey_2_16k:0116,ruler_niah_multikey_2_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_niah_multikey_2_16k:0331,ruler_niah_multikey_2_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_niah_multikey_2_16k:0482,ruler_niah_multikey_2_16k,1.0,0.0,1.0,0.0,100.0,1,5
ruler_niah_multikey_3_16k:0071,ruler_niah_multikey_3_16k,1.0,0.0,0.44000000000000006,55.99999999999999,44.00000000000001,5,5
ruler_niah_multikey_3_16k:0074,ruler_niah_multikey_3_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_niah_multikey_3_16k:0108,ruler_niah_multikey_3_16k,1.0,1.0,0.2,80.0,-80.0,1,5
ruler_niah_multikey_3_16k:0145,ruler_niah_multikey_3_16k,1.0,0.0,0.4,60.0,40.0,1,5
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,1.0,0.4,0.8400000000000001,15.999999999999993,44.00000000000001,5,5
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,1.0,0.2,0.08,92.0,-12.000000000000002,5,5
ruler_niah_multikey_3_16k:0212,ruler_niah_multikey_3_16k,1.0,0.0,0.8,19.999999999999996,80.0,1,5
ruler_niah_multikey_3_16k:0217,ruler_niah_multikey_3_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_niah_multikey_3_16k:0220,ruler_niah_multikey_3_16k,1.0,0.0,0.4,60.0,40.0,1,5
ruler_niah_multikey_3_16k:0251,ruler_niah_multikey_3_16k,1.0,1.0,1.0,0.0,0.0,1,5
ruler_niah_multikey_3_16k:0253,ruler_niah_multikey_3_16k,1.0,0.4,0.5599999999999999,44.00000000000001,15.999999999999993,5,5
ruler_niah_multikey_3_16k:0362,ruler_niah_multikey_3_16k,1.0,1.0,1.0,0.0,0.0,1,5
ruler_niah_multikey_3_16k:0429,ruler_niah_multikey_3_16k,1.0,0.2,0.48,52.0,27.999999999999996,5,5
ruler_niah_multikey_3_16k:0464,ruler_niah_multikey_3_16k,1.0,0.0,0.0,100.0,0.0,1,5
ruler_niah_multiquery_16k:0001,ruler_niah_multiquery_16k,1.0,0.75,0.8,19.999999999999996,5.000000000000004,1,5
ruler_niah_multiquery_16k:0063,ruler_niah_multiquery_16k,1.0,0.9,0.8800000000000001,11.99999999999999,-1.9999999999999907,5,5
ruler_niah_multiquery_16k:0068,ruler_niah_multiquery_16k,1.0,0.75,0.8,19.999999999999996,5.000000000000004,1,5
ruler_niah_multiquery_16k:0082,ruler_niah_multiquery_16k,1.0,0.75,1.0,0.0,25.0,1,5
ruler_niah_multiquery_16k:0100,ruler_niah_multiquery_16k,1.0,0.75,0.8,19.999999999999996,5.000000000000004,1,5
ruler_niah_multiquery_16k:0129,ruler_niah_multiquery_16k,1.0,0.75,0.75,25.0,0.0,1,5
ruler_niah_multiquery_16k:0131,ruler_niah_multiquery_16k,1.0,1.0,0.8,19.999999999999996,-19.999999999999996,1,5
ruler_niah_multiquery_16k:0147,ruler_niah_multiquery_16k,1.0,0.75,0.85,15.000000000000002,9.999999999999998,1,5
ruler_niah_multiquery_16k:0201,ruler_niah_multiquery_16k,1.0,0.8,0.78,21.999999999999996,-2.0000000000000018,5,5
ruler_niah_multiquery_16k:0381,ruler_niah_multiquery_16k,1.0,0.75,0.75,25.0,0.0,1,5
ruler_niah_multiquery_16k:0404,ruler_niah_multiquery_16k,1.0,0.75,0.85,15.000000000000002,9.999999999999998,1,5
ruler_niah_multiquery_16k:0454,ruler_niah_multiquery_16k,1.0,0.5,0.7,30.000000000000004,19.999999999999996,1,5
ruler_niah_multivalue_16k:0060,ruler_niah_multivalue_16k,1.0,0.75,0.95,5.000000000000004,19.999999999999996,1,5
ruler_niah_multivalue_16k:0144,ruler_niah_multivalue_16k,1.0,1.0,1.0,0.0,0.0,1,5
ruler_niah_multivalue_16k:0192,ruler_niah_multivalue_16k,1.0,0.75,0.75,25.0,0.0,1,5
ruler_niah_multivalue_16k:0245,ruler_niah_multivalue_16k,1.0,0.75,0.8,19.999999999999996,5.000000000000004,1,5
ruler_niah_multivalue_16k:0266,ruler_niah_multivalue_16k,1.0,0.75,0.9,9.999999999999998,15.000000000000002,1,5
ruler_niah_multivalue_16k:0288,ruler_niah_multivalue_16k,1.0,1.0,0.9,9.999999999999998,-9.999999999999998,1,5
ruler_niah_multivalue_16k:0496,ruler_niah_multivalue_16k,1.0,0.75,0.85,15.000000000000002,9.999999999999998,1,5
ruler_niah_multivalue_16k:0498,ruler_niah_multivalue_16k,1.0,0.7,0.78,21.999999999999996,8.000000000000007,5,5
ruler_qa_hotpotqa_16k:0023,ruler_qa_hotpotqa_16k,1.0,0.0,0.0,100.0,0.0,1,5
ruler_qa_hotpotqa_16k:0031,ruler_qa_hotpotqa_16k,1.0,0.4,0.4,60.0,0.0,5,5
ruler_qa_hotpotqa_16k:0059,ruler_qa_hotpotqa_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_qa_hotpotqa_16k:0118,ruler_qa_hotpotqa_16k,1.0,0.0,0.0,100.0,0.0,1,5
ruler_qa_hotpotqa_16k:0191,ruler_qa_hotpotqa_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_qa_hotpotqa_16k:0312,ruler_qa_hotpotqa_16k,1.0,1.0,0.6,40.0,-40.0,1,5
ruler_qa_hotpotqa_16k:0337,ruler_qa_hotpotqa_16k,1.0,0.0,0.0,100.0,0.0,1,5
ruler_qa_hotpotqa_16k:0348,ruler_qa_hotpotqa_16k,1.0,0.6,0.76,24.0,16.000000000000004,5,5
ruler_qa_hotpotqa_16k:0364,ruler_qa_hotpotqa_16k,1.0,1.0,0.6,40.0,-40.0,1,5
ruler_qa_hotpotqa_16k:0454,ruler_qa_hotpotqa_16k,1.0,0.0,0.2,80.0,20.0,1,5
ruler_qa_hotpotqa_16k:0493,ruler_qa_hotpotqa_16k,1.0,1.0,0.8,19.999999999999996,-19.999999999999996,1,5
ruler_qa_squad_16k:0033,ruler_qa_squad_16k,1.0,1.0,0.6,40.0,-40.0,1,5
ruler_qa_squad_16k:0056,ruler_qa_squad_16k,1.0,0.2,0.27999999999999997,72.0,7.9999999999999964,5,5
