pair	phase	site_n	all_five_present	all_exact
V2_Z_NATIVE_9fa741130981.json	tail	5	True	True
V2_Z_NATIVE_9fa741130981.json	generation	20	True	True
V2_Z_NATIVE_a5b90521bf4b.json	full_chunk	70	True	True
V2_Z_NATIVE_a5b90521bf4b.json	tail	5	True	True
V2_Z_NATIVE_a5b90521bf4b.json	generation	245	True	True
V2_Z_NATIVE_b50163d52852.json	full_chunk	75	True	True
V2_Z_NATIVE_b50163d52852.json	tail	5	True	True
V2_Z_NATIVE_b50163d52852.json	generation	65	True	True
V2_Z_NATIVE_c453e1c754dc.json	full_chunk	75	True	True
V2_Z_NATIVE_c453e1c754dc.json	tail	5	True	True
V2_Z_NATIVE_c453e1c754dc.json	generation	80	True	True
V2_Z_NATIVE_cf205c9a3179.json	full_chunk	75	True	True
V2_Z_NATIVE_cf205c9a3179.json	tail	5	True	True
V2_Z_NATIVE_cf205c9a3179.json	generation	65	True	True
V2_Z_NATIVE_d3d3a8db9f2a.json	full_chunk	70	True	True
V2_Z_NATIVE_d3d3a8db9f2a.json	tail	5	True	True
V2_Z_NATIVE_d3d3a8db9f2a.json	generation	245	True	True
V2_Z_NATIVE_d52f7fec2801.json	full_chunk	75	True	True
V2_Z_NATIVE_d52f7fec2801.json	tail	5	True	True
V2_Z_NATIVE_d52f7fec2801.json	generation	65	True	True
V2_Z_NATIVE_e08dcc788326.json	full_chunk	75	True	True
V2_Z_NATIVE_e08dcc788326.json	tail	5	True	True
V2_Z_NATIVE_e08dcc788326.json	generation	65	True	True
V2_Z_NATIVE_e2b390a0b81a.json	full_chunk	75	True	True
V2_Z_NATIVE_e2b390a0b81a.json	tail	5	True	True
V2_Z_NATIVE_e2b390a0b81a.json	generation	70	True	True
V2_Z_NATIVE_e2fa8db21604.json	full_chunk	70	True	True
V2_Z_NATIVE_e2fa8db21604.json	tail	5	True	True
V2_Z_NATIVE_e2fa8db21604.json	generation	50	True	True
V2_Z_NATIVE_e414cf792bf6.json	full_chunk	75	True	True
V2_Z_NATIVE_e414cf792bf6.json	tail	5	True	True
V2_Z_NATIVE_e414cf792bf6.json	generation	65	True	True
V2_Z_NATIVE_ee4ec7ea13a0.json	full_chunk	75	True	True
V2_Z_NATIVE_ee4ec7ea13a0.json	tail	5	True	True
V2_Z_NATIVE_ee4ec7ea13a0.json	generation	65	True	True
V2_Z_NATIVE_f0fa1447f065.json	full_chunk	75	True	True
V2_Z_NATIVE_f0fa1447f065.json	tail	5	True	True
V2_Z_NATIVE_f0fa1447f065.json	generation	70	True	True
V2_Z_NATIVE_f61d51bbefd5.json	full_chunk	75	True	True
V2_Z_NATIVE_f61d51bbefd5.json	tail	5	True	True
V2_Z_NATIVE_f61d51bbefd5.json	generation	70	True	True
V2_Z_NATIVE_f6ad03751407.json	full_chunk	75	True	True
V2_Z_NATIVE_f6ad03751407.json	tail	5	True	True
V2_Z_NATIVE_f6ad03751407.json	generation	175	True	True
